,Alas,Indo,Domain
0,menukhut q rasa sayang khut jeme Edi lewat sifatne khut aku,,Story/narrative
1,"ku pelajakhi cekhok inggkhis sebhab cekhok inggkhis nde bahase dunie ,si kekhine ni wajibken mempelajakhi bahase inggkhis kune Kase Nemu menjadhi bahase penengah",,Story/narrative
2,dapet pengalamen mbakhu untuk nggeluh Mase depan,,Story/narrative
3,cekhiteken gambakhen ato dalan cekhite penting si terkjadi bagas sejakhah Indonesia?,,History
4,kune cakhe me bahani tugas/ bahanen mu,,Instructions
5,"de aku mehayak kane kelebihen ku, mbue kane tule kekukhangen ku, te ni dunie nde malet buah pe jeme si sempukhne",,Story/narrative
6,sape jeme Babai mecekho tanyak kae hobi ne,,Story/narrative
7,"pekhubaten e tekhjadi biase ne akibat let ne khase ikhi dengki atau pe saling sindekh meyindekh,makane tekhjadi pekhubaten",,Instructions
8,cut nyak din mamperjuanken indonesia de,,Story/narrative
9,cakhene mesungguh sungguh belajakh,,Instructions
10,jeme ne baik mejile tule malet sombong pot berbagi,,Story/narrative
11,"tekhe naleme balap mekhonda pasti gekhe ndes di, dak caye cube tes kae",,Instructions
12,"de adat kami nde luakh biase khabut ne, hoye khoh mu ato kalak, kae kado khut pige pelawatmu edi sendah si ato kalak",,Instructions
13,pelajakhen si paling megune ni sekolah adalah pelajakhen ilmu agame sebab ni Bagas Islam kite ni ajakhken sopan santun terhadap okhang paling metue dakhi pade kite,,Story/narrative
14,menurut ku Mende ne Alam de karene ukhok kite khawat se,,Culture/Tourism
15,jujukh sabakh tenang khut tekhime kenyataan,,Story/narrative
16,"menukhut mu, kae plin di kao butuhken pekhsiapen sebelum pensiun?",,Story/narrative
17,berhenti hulu balalng mahote alam ni hadi kenie ie bermalam ni tengah padang medem terlene wakhi go terang pule sempurne,,History
18,bue su sen de lot sen hebat gat papelin belanje ulah v gat,,Story/narrative
19,mecehok nakhen akgahe di me mecehok akuu hit iye p,,Story/narrative
20,jinto Honda gakhami dalan si malet bue jemene atau si Ndak macet,,Culture/Tourism
21,ketike aku mekhase jatuh cinte khut nakhu si mejilen ni lota e iye manis manis kalihen,,Story/narrative
22,ni kas kuliah ku Ket imbang ku baik ye pot ye nolong aku ni Bagas kesusahen ku,,Story/narrative
23,"misalne anak kuliah laus be kampus, lebe pahe pake becak",,Culture/Tourism
24,de sesuatu e baik Alhamdulillah senang kalihen aku mege se sebab misal ne ku dapet khajeki si malet ku sangke luakh biase get ne ate ku,,Story/narrative
25,kakhene malet nae kecocokan ni antakhe iye,,Story/narrative
26,"laus me mpus, lajang me ketambe",,Culture/Tourism
27,menukhutmu kune Kao dapat datas badan Kao sendah nde?,,Instructions
28,mengucur surut berbuang langkah,,History
29,kae sebab ne mate pelajakhen atau pe matekhi gat nemu get ate mu,,Story/narrative
30,sembahyang khajin sedekah ulang sombong su me kalk kase lot imbang silatuhkrahmi khut ank kute e,,Instructions
31,"cakhe metohi se kas mangan atau makane terbaik ni daekhah ku salah satu ne dengan cakhe ngakapi delukhuh masaken si lot,te taboh khase ne bekharti mengket kriteria terbaik,tapi hakhus bersih kas ne khut higenis kane",,Story/narrative
32,"sesudah anak bisa di sunat rasul kan, maka di ada kan lah mupakat keluarga",,Culture/Tourism
33,kahene bue ne pikihen si tanggung ne menyebabken iye jatuh gile,,Story/narrative
34,khaje yazid pe melompat pule,,History
35,menukhutmu ketekhe cakhe kane geluh lebih mende,,Instructions
36,kae pelin hal si kau pet i kau cape bagas geluh ende,,Story/narrative
37,kendin diriken raje angkaten,,History
38,inget lah engko umar de ali de enggo kene be kuburen pergi hendaklah inget mude yang sopan nyawe ni badan akan melayang,,History
39,"menukhutmu,hal kae plin si dapet mesadeken Indonesia",,History
40,Kane pahit Mahan malet pot medem bahan ne kite akibat kopi ngr,,Story/narrative
41,edi kase ulang sembakhangen cekhe-cekhe ken bekhu,,Culture/Tourism
42,"Ende akham kutoh jawab ne, sekhik su kukap pertanyaen ne v",,Story/narrative
43,agame Islam ni sukhuh tegak ken,,History
44,pekhan kesehaten dan doktokh bagas menbentuk sejakhah daekhah malet paham suu aku diii,,History
45,"untuk bhelajakh, kane bhacakh, kane lot pagi bhahanen te nggo tamat kuliah, hakhapen lami kane lot peningkaten ekonomi bagas keluakhge",,Story/narrative
46,sukahe becak Lawe sukahe karoke khut sukahe knalpot,,Story/narrative
47,kae pengalamen atau kisah si paling menginspirasi kau pas,,Story/narrative
48,"nangko uso, laus me lawe matang balik,en ne siap magrib mengasi ma,e khut pa,e ngat pekhak",,Story/narrative
49,"wakhi si ndak mende bagi ku adalah, waktu khaye haji tahun diye, aku mengalami kecelakaan si ndak pekhnah ku lupeken soh digan pe",,Story/narrative
50,"kae gat kalak mekhaseken kesedihen, cube jelaken",,Story/narrative
51,edime gat babe me medan bedih,,History
52,ketike aku senang aku bahan imbang q khut iye bahagie,,Story/narrative
53,kae plin hal si akan kau lakuken Wakhi nde?,,Story/narrative
54,dape v langkah ku babe ku cube b kidah pengorbanan mu ku tahan mele,,Story/narrative
55,menukhutmu kae si let kalak menjadiken binatang buas sebagei pelikharenne?,,Story/narrative
56,"si petame nde seblum kite laus siapken be kae so sikel kite bah, bakhu kita laus",,Culture/Tourism
57,ikuti si bahani Kalak e Kase jadi karya terbaik iye,,Story/narrative
58,Alhamdulillah let tong jeme si ku cintai let jeme si nolong aku Bagas kesusahen,,Story/narrative
59,menukhut ku bahan kalak kase get ate me kite kite hakhus membantu dan hakhus baik bane kase iye get ate me kite,,Story/narrative
