,Alas,Indo,Domain
0,menuru ku te si paling terburuk kalak si melawan be khang tue ne,,Story/narrative
1,"bukai ban, pul edi mengketken ban ne tule, konci mende",,Culture/Tourism
2,Kane get ate ne senang kap ne edi kase p gat senang iye,,Story/narrative
3,sekalien anak beliau itu,,History
4,tekhinget okhang tue si hakhus ku ubah nasib ne,,Story/narrative
5,Pandangen ku terhadap pernikahen sungguh luakh biase kakhene ni pernikahen uyok kakhene bahan ketukhunen bakhu plin tetapi let ibadah ni bagas ne,,Story/narrative
6,Ngukhus upah ngampe ken mekhadat soh ken koje jagai ato mangekhi khut antat takhuh,,Instructions
7,aku tekhe aku bahan di nu si kecil tu kak Seto Mulyadi mengatakan pihaknya akan melakukan penelitian di bidang ekonomi dan bisnis universitas negeri Malang di,,Story/narrative
8,"mbue si sikel ku bhahani ni mase depan, salah satu ne mengejakh cite-cite, melakuken kebaiken, bekhakhamal be Tuhan",,Story/narrative
9,Kas ne cemak hangat adi malet pakek ac lecah tule bue kalak belang babah,,Story/narrative
10,konsetekhasi ulang megadang bongi kane pokus kite mahani bahane kite,,Instructions
11,buet ken sen ni kantong pul edi mendalam meke sukokh gat,,Culture/Tourism
12,Pahte khekhut berputih tulang Ni tanoh si gosing kite berkelang Racun me bise kite minum ken Dunie Ende kite hilang ken,,History
13,Eggo me soh pule di situ memberi salam nyare lah tentu ampun junjungen rasul mutabar utusen khaje hendak panglime khaibar,,History
14,mantap kidah aplikasi nde tapi citoksu kidah sene poinpe citok amin khene,,Story/narrative
15,si kulakuken adalah aku hakhus pung pendikhien aku hakhus jage khahasie si cekhite ken mangku kaakhene iye v pecaye mangku,,Story/narrative
16,bersyukur kalihen aku ni bekheken khang tue si Sayang kalihen bangku,,Story/narrative
17,"jujukh,mudah ni pecaye, amanah dan khajin beribadah",,Story/narrative
18,ketekhe kenin Soh tujuen si ingin kenin capai,,Instructions
19,belajakh khajin me usahe pido metuhan sekhah Ken meside,,Instructions
20,proses si hakhus ku lalui untuk menentuken kebutuhen ku cakhene mebahan,,Story/narrative
21,"alas di mempunyai sebuah tradisi pima manen, antat tabukh, jinto kude tong melekat sedang ken budaye gaya malet pakek pemamanen, jinta kude khut antat takhuk",,History
22,Dengen pahlawan kapir Yahudi petepen cinter me baju besi baginde ali memancung Allahu Akbar bertimbun bangke selurut kupar.,,History
23,pekhang ni benteng kutarian mampakhebutkan wilayah aceh tenggara,,History
24,si ku masak i he,,Instructions
25,hal se paling aku syukuri sendah yaitu kesehaten se khe ken allah bangku,,Story/narrative
26,aku malet kukhok mangan sayukh Edi Mahan Se malet pot su aku mangan sayukh,,Story/narrative
27,si paling ku sesali Bagas geluh ku mange Nemu membahagiaken kedue khang tueku,,Story/narrative
28,cekhiteken segale hal si menjadi impienmu ni kas hadi diw,,Story/narrative
29,gegakhe sen khut utang me Kalak pekak Ndak let matakh,,Instructions
30,wakhi nde aku lajang be jamnis khut imabng mangan mangan,,Story/narrative
31,menukhutku pet tetawe Sade khut mecekhok sade,,Story/narrative
32,biase ne khidi lebe pul Edi mangan tekhus mekhikok sebatang bakhu pul Edi semangat Ken dikhi untuk mebahan,,Instructions
33,buet medem aku nonton main hp mangan te lot bahanen mebahan,,Story/narrative
34,care Indonesia memenangkan piala dinie Edi me khajin latihaen khut pekatih,,Story/narrative
35,jeme ne malet bue cekhok malot bur bage malet pekhcaye dikhi,,Story/narrative
36,melelo khut main main khut khut imbang kekhine,,Story/narrative
37,careku untuk geluh lebih baik Edi me ndahui  narkobe khut judi Edi kite ndahui insyaallah geluh kite aman khut baik,,Instructions
38,pake sua ngedang pake baju koko bage ustad,,Story/narrative
39,aku plin te nu toh ntah kae su malet kau ingin aku sampaikan kepada seseorang yang tidak bisa banyak,,Story/narrative
